Job,Step,total refugee,At Home,School,Water,Mosque,Market,Food C.,Health C.,Visit R.,Social,Hygiene
0,0,4000,4000,0,0,0,0,0,0,0,0,0
0,1,4000,4000,0,0,0,0,0,0,0,0,0
0,2,4000,4000,0,0,0,0,0,0,0,0,0
0,3,4000,4000,0,0,0,0,0,0,0,0,0
0,4,4000,4000,0,0,0,0,0,0,0,0,0
0,5,4000,4000,0,0,0,0,0,0,0,0,0
0,6,4000,4000,0,0,0,0,0,0,0,0,0
0,7,4000,4000,0,0,0,0,0,0,0,0,0
0,8,4000,4000,0,0,0,0,0,0,0,0,0
0,9,4000,4000,0,0,0,0,0,0,0,0,0
0,10,4000,4000,0,0,0,0,0,0,0,0,0
0,11,4000,4000,0,0,0,0,0,0,0,0,0
0,12,4000,4000,0,0,0,0,0,0,0,0,0
0,13,4000,4000,0,0,0,0,0,0,0,0,0
0,14,4000,4000,0,0,0,0,0,0,0,0,0
0,15,4000,4000,0,0,0,0,0,0,0,0,0
0,16,4000,4000,0,0,0,0,0,0,0,0,0
0,17,4000,4000,0,0,0,0,0,0,0,0,0
0,18,4000,4000,0,0,0,0,0,0,0,0,0
0,19,4000,4000,0,0,0,0,0,0,0,0,0
0,20,4000,4000,0,0,0,0,0,0,0,0,0
0,21,4000,4000,0,0,0,0,0,0,0,0,0
0,22,4000,4000,0,0,0,0,0,0,0,0,0
0,23,4000,4000,0,0,0,0,0,0,0,0,0
0,24,4000,4000,0,0,0,0,0,0,0,0,0
0,25,4000,4000,0,0,0,0,0,0,0,0,0
0,26,4000,4000,0,0,0,0,0,0,0,0,0
0,27,4000,4000,0,0,0,0,0,0,0,0,0
0,28,4000,4000,0,0,0,0,0,0,0,0,0
0,29,4000,4000,0,0,0,0,0,0,0,0,0
0,30,4000,4000,0,0,0,0,0,0,0,0,0
0,31,4000,4000,0,0,0,0,0,0,0,0,0
0,32,4000,4000,0,0,0,0,0,0,0,0,0
0,33,4000,4000,0,0,0,0,0,0,0,0,0
0,34,4000,4000,0,0,0,0,0,0,0,0,0
0,35,4000,4000,0,0,0,0,0,0,0,0,0
0,36,4000,4000,0,0,0,0,0,0,0,0,0
0,37,4000,4000,0,0,0,0,0,0,0,0,0
0,38,4000,4000,0,0,0,0,0,0,0,0,0
0,39,4000,4000,0,0,0,0,0,0,0,0,0
0,40,4000,4000,0,0,0,0,0,0,0,0,0
0,41,4000,4000,0,0,0,0,0,0,0,0,0
0,42,4000,4000,0,0,0,0,0,0,0,0,0
0,43,4000,4000,0,0,0,0,0,0,0,0,0
0,44,4000,4000,0,0,0,0,0,0,0,0,0
0,45,4000,4000,0,0,0,0,0,0,0,0,0
0,46,4000,4000,0,0,0,0,0,0,0,0,0
0,47,4000,4000,0,0,0,0,0,0,0,0,0
0,48,4000,4000,0,0,0,0,0,0,0,0,0
0,49,4000,4000,0,0,0,0,0,0,0,0,0
0,50,4000,4000,0,0,0,0,0,0,0,0,0
0,51,4000,4000,0,0,0,0,0,0,0,0,0
0,52,4000,4000,0,0,0,0,0,0,0,0,0
0,53,4000,4000,0,0,0,0,0,0,0,0,0
0,54,4000,4000,0,0,0,0,0,0,0,0,0
0,55,4000,4000,0,0,0,0,0,0,0,0,0
0,56,4000,4000,0,0,0,0,0,0,0,0,0
0,57,4000,4000,0,0,0,0,0,0,0,0,0
0,58,4000,4000,0,0,0,0,0,0,0,0,0
0,59,4000,4000,0,0,0,0,0,0,0,0,0
0,60,4000,4000,0,0,0,0,0,0,0,0,0
0,61,4000,4000,0,0,0,0,0,0,0,0,0
0,62,4000,4000,0,0,0,0,0,0,0,0,0
0,63,4000,4000,0,0,0,0,0,0,0,0,0
0,64,4000,4000,0,0,0,0,0,0,0,0,0
0,65,4000,4000,0,0,0,0,0,0,0,0,0
0,66,4000,4000,0,0,0,0,0,0,0,0,0
0,67,4000,4000,0,0,0,0,0,0,0,0,0
0,68,4000,4000,0,0,0,0,0,0,0,0,0
0,69,4000,4000,0,0,0,0,0,0,0,0,0
0,70,4000,4000,0,0,0,0,0,0,0,0,0
0,71,4000,4000,0,0,0,0,0,0,0,0,0
0,72,4000,4000,0,0,0,0,0,0,0,0,0
0,73,4000,4000,0,0,0,0,0,0,0,0,0
0,74,4000,4000,0,0,0,0,0,0,0,0,0
0,75,4000,4000,0,0,0,0,0,0,0,0,0
0,76,4000,4000,0,0,0,0,0,0,0,0,0
0,77,4000,4000,0,0,0,0,0,0,0,0,0
0,78,4000,4000,0,0,0,0,0,0,0,0,0
0,79,4000,4000,0,0,0,0,0,0,0,0,0
0,80,4000,4000,0,0,0,0,0,0,0,0,0
